sku,attribute_set_code,product_type,categories,vendor,visibility,name,description,productype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,base_image,small_image,thumbnail_image,additional_image,accessories,qty,max_cart_qty
ZenBook UX430UN,Laptop,simple,Asus,Asus,"Catalog, Search",ZenBook UX430UN,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg,41532147,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3
Vivobook E200HA,Laptop,simple,Asus,Asus,"Catalog, Search",Vivobook E200HA,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98kg,5331116,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-4.jpg,Bộ sạc + hướng dẫn sử dụng,21,4
E402WA-GA010T (E2-6110/2GB/32GB/W10),Laptop,simple,Asus,Asus,"Catalog, Search",E402WA-GA010T (E2-6110/2GB/32GB/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,5528359,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-6.jpg,Bộ sạc + hướng dẫn sử dụng,22,5
X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Laptop,simple,Asus,Asus,"Catalog, Search",X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,10806692,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-8.jpg,Bộ sạc + hướng dẫn sử dụng,23,6
X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Laptop,simple,Asus,Asus,"Catalog, Search",X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,14529028,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-10.jpg,Bộ sạc + hướng dẫn sử dụng,24,7
Rog Strix,Laptop,simple,Asus,Asus,"Catalog, Search",Rog Strix,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,36087129,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-12.jpg,Bộ sạc + hướng dẫn sử dụng,25,8
X751NV-TY001T (N4200/4GB/1TB/GeForce,Laptop,simple,Asus,Asus,"Catalog, Search",X751NV-TY001T (N4200/4GB/1TB/GeForce,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,12945806,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-14.jpg,Bộ sạc + hướng dẫn sử dụng,26,9
VivoBook Max,Laptop,simple,Asus,Asus,"Catalog, Search",VivoBook Max,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,16284769,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-16.jpg,Bộ sạc + hướng dẫn sử dụng,27,10
X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Laptop,simple,Asus,Asus,"Catalog, Search",X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,11528991,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-18.jpg,Bộ sạc + hướng dẫn sử dụng,28,11
UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Laptop,simple,Asus,Asus,"Catalog, Search",UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,26141639,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/asus-zenbook-ux425-20.jpg,Bộ sạc + hướng dẫn sử dụng,29,12
