sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,,,base_image,small_image,thumbnail_image,additional_images,accessories,qty,max_cart_qty,pin
15-bs101nv (i7-8550u/8gb/256gb/fhd/w10)-8gb-256gb ssd,15-bs101nv (i7-8550u/8gb/256gb/fhd/w10)-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,18307481,hp-01,hp-02,hp-01.jpg,hp-01.jpg,hp-01.jpg,hp-02.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
17-ak001nv (a6-9220/4gb/500gb/radeon-4gb-500gb hdd,17-ak001nv (a6-9220/4gb/500gb/radeon-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",17-ak001nv (A6-9220/4GB/500GB/Radeon,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,12195727,hp-03,hp-04,hp-03.jpg,hp-03.jpg,hp-03.jpg,hp-04.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
250 g6-4gb-1tb hdd,250 g6-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,13576150,hp-05,hp-06,hp-05.jpg,hp-05.jpg,hp-05.jpg,hp-06.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
250 g6-4gb-500gb hdd1,250 g6-4gb-500gb hdd1,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,10942818,hp-07,hp-08,hp-07.jpg,hp-07.jpg,hp-07.jpg,hp-08.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
250 g6-4gb-500gb hdd,250 g6-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,9584064,hp-09,hp-10,hp-09.jpg,hp-09.jpg,hp-09.jpg,hp-10.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
250 g6-8gb-256gb ssd,250 g6-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,15973903,hp-11,hp-12,hp-11.jpg,hp-11.jpg,hp-11.jpg,hp-12.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
255 g6-4gb-256gb ssd,255 g6-4gb-256gb ssd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",255 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,11070331,hp-13,hp-14,hp-13.jpg,hp-13.jpg,hp-13.jpg,hp-14.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
255 g6-4gb-500gb hdd,255 g6-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",255 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,7167421,hp-15,hp-16,hp-15.jpg,hp-15.jpg,hp-15.jpg,hp-16.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
aspire 3-4gb-1tb hdd1,aspire 3-4gb-1tb hdd1,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg,10195517,acer-19,acer-20,acer-19.jpg,acer-19.jpg,acer-19.jpg,acer-20.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
aspire 3-4gb-1tb hdd2,aspire 3-4gb-1tb hdd2,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,10667789,acer-01,acer-02,acer-01.jpg,acer-01.jpg,acer-01.jpg,acer-02.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
aspire 3-4gb-1tb hdd,aspire 3-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,10973377,acer-03,acer-04,acer-03.jpg,acer-03.jpg,acer-03.jpg,acer-04.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
aspire 3-4gb-500gb hdd,aspire 3-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg,11112280,acer-05,acer-06,acer-05.jpg,acer-05.jpg,acer-05.jpg,acer-06.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
